,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00009881,"cell membrane organization biogenesis variant, chromosome condensation variant, cytoplasmic processing body variant, diakinesis progression during oogenesis variant, diplotene region organization variant, dumpy, early endosome localization variant, early endosome morphology variant, embryo osmotic integrity defective early emb, embryonic lethal, endoplasmic reticulum localization variant, endoplasmic reticulum morphology variant, germ cell compartment anucleate, germ cell compartment expansion variant, golgi apparatus localization variant, golgi apparatus morphology variant, larval arrest, larval lethal, late endosome localization variant, late endosome morphology variant, locomotion variant, lysosome-related organelle morphology variant, maternal sterile, molt defect, multiple nuclei oocyte, nuclear appearance variant, nuclei enlarged, oocyte morphology variant, oocyte septum formation variant, oocytes lack nucleus, organism morphology variant, pattern of transgene expression variant, protein aggregation variant, RAB-11 recycling endosome localization variant, RAB-11 recycling endosome morphology variant, receptor mediated endocytosis defective, slow growth, sterile, transgene expression increased, transgene subcellular localization variant",N.A.
WBGene00009882,"accumulated germline cell corpses, apoptosis increased, apoptosis variant, avoids bacterial lawn, cell fusion variant, cell membrane organization biogenesis variant, cytoplasmic processing body variant, diakinesis region organization variant, embryo osmotic integrity defective early emb, embryonic lethal, foraging behavior variant, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment multinucleate, germline nuclear positioning variant, gonad degenerate, larval arrest, larval lethal, lysosome-related organelle morphology variant, maternal sterile, mRNA surveillance defective, nonsense mRNA accumulation, oocyte number decreased, oocyte septum formation variant, pachytene region organization variant, RAB-11 recycling endosome localization variant, RAB-11 recycling endosome morphology variant, rachis narrow, sick, slow growth, sterile, transgene expression increased, transgene subcellular localization variant",N.A.
WBGene00009883,N.A.,N.A.
WBGene00009884,fat content increased,N.A.
WBGene00009885,"adult lethal, locomotion variant, paralyzed, slow growth",molybdenum cofactor depletion hypersensitive
WBGene00009886,N.A.,N.A.
WBGene00009887,N.A.,N.A.
WBGene00009888,larval lethal,"lethal, sterile"
WBGene00009889,N.A.,N.A.
WBGene00009890,fat content reduced,N.A.
WBGene00009891,N.A.,N.A.
WBGene00009892,N.A.,N.A.
WBGene00009893,"embryonic lethal, larval arrest, reduced brood size",N.A.
WBGene00009894,N.A.,N.A.
WBGene00009895,N.A.,extended life span
WBGene00009896,N.A.,N.A.
WBGene00009897,N.A.,"dumpy, innate immune response variant, organism pathogen response variant, pathogen susceptibility increased, shortened life span"
WBGene00009898,"extended life span, life span phenotype",N.A.
WBGene00009899,"excess seam cells, pattern of transgene expression variant, receptor mediated endocytosis defective, sick, spontaneous mutation rate increased",larval lethal
WBGene00009900,N.A.,N.A.
WBGene00009901,N.A.,N.A.
WBGene00009902,N.A.,N.A.
WBGene00009903,N.A.,N.A.
WBGene00009904,N.A.,N.A.
WBGene00009905,N.A.,N.A.
WBGene00009906,N.A.,N.A.
WBGene00009907,N.A.,N.A.
WBGene00009908,"cadmium hypersensitive, slow growth",N.A.
WBGene00009909,N.A.,N.A.
WBGene00009910,N.A.,N.A.
WBGene00009911,N.A.,N.A.
WBGene00009912,N.A.,N.A.
WBGene00009913,N.A.,N.A.
WBGene00009914,N.A.,N.A.
WBGene00009915,body wall muscle myosin organization defective,N.A.
WBGene00009916,N.A.,N.A.
WBGene00009917,body wall muscle myosin organization defective,N.A.
WBGene00009918,"embryonic lethal, protein metabolism variant, transgene expression increased",N.A.
WBGene00009919,N.A.,N.A.
WBGene00009920,"aldicarb hypersensitive, chemical hypersensitive, levamisole hypersensitive, P granule localization defective, small","body bend variant, body lengthening response to muscimol variant, egg laying defective, egg laying response to muscimol variant, fewer eggs laid, muscimol response variant, short"
WBGene00009921,locomotion variant,N.A.
WBGene00009922,embryonic lethal,N.A.
WBGene00009923,N.A.,N.A.
WBGene00009924,"germline transgene silencing variant, multivulva","lethal, sterile"
WBGene00009925,"fat content reduced, slow growth","lethal, sterile"
WBGene00009926,"apoptosis reduced, cell membrane organization biogenesis variant, chromosome condensation variant, cytoplasmic processing body variant, embryonic lethal, germ cell compartment expansion variant, germ cell compartment multinucleate, germ cell partition morphology variant, germline nuclear positioning variant, larval arrest, larval lethal, locomotion variant, lysosome-related organelle localization variant, maternal sterile, molt defect, multiple nuclei oocyte, nuclear appearance variant, nuclear fallout, oocyte morphology variant, oocyte number decreased, oogenesis variant, pachytene region organization variant, protein aggregation variant, RAB-11 recycling endosome morphology variant, rachis morphology variant, rachis wide, sick, sterile, transgene expression increased, transgene expression reduced, transgene subcellular localization variant",N.A.
WBGene00009927,N.A.,N.A.
WBGene00009929,N.A.,N.A.
WBGene00009930,"embryonic lethal, sterile, transgene expression increased",N.A.
WBGene00009931,N.A.,"lethal, sterile"
WBGene00009933,N.A.,N.A.
WBGene00009935,N.A.,N.A.
WBGene00009936,N.A.,N.A.
WBGene00009937,embryonic lethal,"lethal, sterile"
WBGene00009938,N.A.,N.A.
WBGene00009939,"division axis defective, embryonic lethal, locomotion variant","lethal, sterile"
WBGene00009940,N.A.,N.A.
WBGene00009941,N.A.,N.A.
WBGene00009942,N.A.,N.A.
WBGene00009943,embryonic lethal,N.A.
WBGene00009944,"embryonic arrest, fewer eggs laid, larval arrest",fewer eggs laid
WBGene00009945,transgene expression increased,N.A.
WBGene00009946,"high incidence male progeny, meiosis variant",N.A.
WBGene00009947,"organism osmotic stress response variant, transgene expression increased",N.A.
WBGene00009948,N.A.,fat content variant
WBGene00009949,N.A.,N.A.
WBGene00009950,transgene expression increased,N.A.
WBGene00009951,N.A.,N.A.
WBGene00009952,"coelomocyte endocytosis defective, dumpy, lethal","male sterile, sterile"
WBGene00009953,"coelomocyte endocytosis defective, dumpy, lethal",N.A.
WBGene00009954,N.A.,N.A.
WBGene00009955,N.A.,"dauer development phenotype, transgene expression increased"
WBGene00009956,N.A.,N.A.
WBGene00009957,N.A.,N.A.
WBGene00009958,N.A.,muscle arm development defective
WBGene00009959,locomotion variant,N.A.
WBGene00009960,N.A.,N.A.
WBGene00009961,N.A.,N.A.
WBGene00009962,N.A.,N.A.
WBGene00009963,N.A.,N.A.
WBGene00009964,N.A.,N.A.
WBGene00009965,N.A.,N.A.
WBGene00009966,"cell proliferation increased, embryonic lethal, excess intestinal cells, germ cell development variant, gonad migration variant, gonad morphology variant, larval arrest, larval lethal, molt defect, oocyte morphology variant, oocytes disorganized, protruding vulva, reduced brood size, sterile, sterile progeny, tumorous germline",N.A.
WBGene00009967,N.A.,N.A.
WBGene00009968,amphid phasmid neuron morphology variant,bordering
WBGene00009969,"cell proliferation increased, embryonic lethal, excess intestinal cells",N.A.
WBGene00009971,N.A.,N.A.
WBGene00009972,N.A.,N.A.
WBGene00009973,"fat content increased, pathogen susceptibility increased",N.A.
WBGene00009974,N.A.,N.A.
WBGene00009975,N.A.,N.A.
WBGene00009976,N.A.,N.A.
WBGene00009977,resistant to protein aggregation induced paralysis,N.A.
WBGene00009978,maternal sterile,N.A.
WBGene00009979,N.A.,N.A.
WBGene00009980,"larval lethal, locomotion variant, paralyzed, protein aggregation variant, short defecation cycle, slow growth",N.A.
WBGene00009981,N.A.,N.A.
WBGene00009982,N.A.,N.A.
WBGene00009983,N.A.,N.A.
WBGene00009984,N.A.,N.A.
WBGene00009985,N.A.,N.A.
WBGene00009986,N.A.,N.A.
WBGene00009987,N.A.,N.A.
WBGene00009988,N.A.,N.A.
WBGene00009990,N.A.,N.A.
WBGene00009991,N.A.,N.A.
WBGene00009992,"dauer lifespan extended, embryonic lethal, growth variant, larval arrest, no induction of antimicrobial peptide expression after infection, reduced brood size, transgene expression increased","lethal, sterile"
WBGene00009993,"developmental delay, early larval arrest, embryonic lethal, extended life span, larval arrest, larval lethal, maternal sterile, protein subcellular localization variant, protruding vulva, slow growth, transgene expression variant",N.A.
WBGene00009994,N.A.,N.A.
WBGene00009995,N.A.,N.A.
WBGene00009996,embryonic lethal,N.A.
WBGene00009997,N.A.,N.A.
WBGene00009998,locomotion variant,N.A.
WBGene00009999,N.A.,N.A.
WBGene00010000,N.A.,N.A.
WBGene00010001,N.A.,N.A.
WBGene00010002,N.A.,N.A.
WBGene00010003,N.A.,N.A.
WBGene00010004,"cadmium hypersensitive, slow growth",N.A.
WBGene00010005,N.A.,N.A.
WBGene00010006,N.A.,N.A.
WBGene00010007,N.A.,N.A.
WBGene00010008,N.A.,N.A.
WBGene00010009,N.A.,N.A.
WBGene00010010,N.A.,N.A.
WBGene00010011,miRNA expression variant,N.A.
WBGene00010012,N.A.,gene expression variant
WBGene00010013,embryonic lethal,N.A.
WBGene00010014,N.A.,N.A.
WBGene00010015,"accumulated germline cell corpses, apoptosis variant, avoids bacterial lawn, cell cycle slow early emb, cell membrane organization biogenesis variant, chromosome condensation variant, diakinesis region organization variant, diplotene region organization variant, embryo osmotic pressure sensitive early emb, embryonic lethal, excessive blebbing early emb, germ cell compartment anucleate, germ cell compartment expansion variant, germ cell compartment morphology variant, germline nuclear positioning variant, gonad vesiculated, larval arrest, maternal sterile, molt defect, multiple nuclei early emb, no induction of antimicrobial peptide expression after infection, nuclear envelope assembly variant early emb, one cell arrest early emb, oocyte morphology variant, oocyte number decreased, oocyte septum formation variant, oocytes lack nucleus, P0 spindle position abnormal, pachytene region organization variant, pattern of transgene expression variant, pronuclear migration defective early emb, pronuclear migration failure early emb, rachis morphology variant, rachis narrow, receptor mediated endocytosis defective, slow growth, spindle orientation variant AB or P1 early emb, sterile, sterile progeny, synchronous second division early emb, transgene subcellular localization variant",N.A.
WBGene00010016,N.A.,N.A.
WBGene00010017,male tail morphology variant,N.A.
WBGene00010018,N.A.,N.A.
WBGene00010019,N.A.,N.A.
WBGene00010020,N.A.,N.A.
WBGene00010021,N.A.,N.A.
WBGene00010022,N.A.,N.A.
WBGene00010023,N.A.,N.A.
WBGene00010024,N.A.,N.A.
WBGene00010025,N.A.,N.A.
WBGene00010026,N.A.,N.A.
WBGene00010027,N.A.,N.A.
WBGene00010028,protein degradation variant,N.A.
WBGene00010030,N.A.,N.A.
WBGene00010031,"avoids bacterial lawn, slow growth",N.A.
WBGene00010032,N.A.,N.A.
WBGene00010033,N.A.,N.A.
WBGene00010034,N.A.,N.A.
WBGene00010035,"embryonic lethal, one cell arrest early emb",N.A.
WBGene00010036,"chromosome segregation variant karyomeres early emb, dead eggs laid, embryonic lethal, exploded through vulva, germ cell development variant, gonad development variant, growth variant, larval arrest, pattern of transgene expression variant, protruding vulva, reduced brood size, sick, sterile","lethal, sterile"
WBGene00010037,"embryonic lethal, maternal sterile",N.A.
WBGene00010038,"cell fate specification variant, clear, locomotion variant, long, slow growth, sterile progeny, thin, transgene expression reduced","lethal, sterile"
WBGene00010039,N.A.,N.A.
WBGene00010040,N.A.,N.A.
WBGene00010041,N.A.,N.A.
WBGene00010042,"clear, embryonic lethal, larval arrest, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth","lethal, sterile"
WBGene00010043,"fat associated bodies increased, fat content increased, peptide uptake by intestinal cell decreased",N.A.
WBGene00010044,"dead eggs laid, exploded through vulva, fat content reduced, gonad development variant, larval arrest, late larval arrest, locomotion variant, organism morphology variant, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective, reduced brood size, sick, slow growth, sterile, sterile progeny",N.A.
WBGene00010045,N.A.,N.A.
WBGene00010046,dauer lifespan extended,N.A.
WBGene00010047,"dauer lifespan extended, early larval arrest, germ cell development variant, gonad development variant, larval arrest, lysosome-related organelle morphology variant, male somatic gonad development variant, maternal sterile, no induction of antimicrobial peptide expression after infection, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth, sterile, transgene subcellular localization variant",N.A.
WBGene00010048,N.A.,N.A.
WBGene00010049,N.A.,N.A.
WBGene00010050,N.A.,N.A.
WBGene00010051,"dumpy, early larval arrest, embryonic lethal, extended life span, larval lethal, locomotion variant, organism development variant, organism morphology variant, pattern of transgene expression variant, receptor mediated endocytosis defective, reduced brood size, slow growth","lethal, sterile"
WBGene00010052,"chemical response variant, transgene expression increased",N.A.
WBGene00010053,embryonic lethal,N.A.
WBGene00010054,"dumpy, embryonic lethal, larval arrest, locomotion variant, pattern of transgene expression variant, receptor mediated endocytosis defective, shortened life span, slow growth, sterile progeny",N.A.
WBGene00010055,transgene expression increased,"embryonic lethal, endomitotic oocytes, fertility reduced, lethal, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant, sterile"
WBGene00010056,"dauer lifespan extended, embryonic lethal",meiotic DNA double strand break formation variant
WBGene00010057,N.A.,N.A.
WBGene00010058,N.A.,N.A.
WBGene00010059,N.A.,N.A.
WBGene00010060,N.A.,"amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity decreased, body posture wavelength decreased, coiling frequency increased, forward locomotion decreased, forward point velocity decreased, frequency of body bend variant, head bend angle increased, nose movement variant, path curvature increased, pausing increased, roaming reduced, short, tail bend angle increased, thin, turning frequency variant"
WBGene00010061,embryonic lethal,N.A.
WBGene00010062,N.A.,fat content increased
